sequence,hash,date,type,release,capabilities,subject_capabilities,references,files,insertions,deletions,subject
346,734bf738eb57ba6228d41b807cdd6928ce95fb47,2026-02-23T16:15:37Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.2.23.6 [skip ci]
347,2c01161df0fcc352d7e159ffadb132b4800be054,2026-02-23T12:47:04-05:00,refactor,no,terminal;tasks;drones;workers;recovery;testing_quality,testing_quality,,9,213,96,"refactor: DRY up pilot error handling, harden daemon lock, add type safety"
348,cac97b731d121f4d6e180e72c5cc7de0d2db184a,2026-02-23T17:51:56Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.2.23.7 [skip ci]
349,120c9f124c9c571516c6f6a99f70aa2caf0a0c3e,2026-02-23T14:37:32-05:00,fix,no,terminal,terminal,,1,3,2,fix(pty): raise StreamReader limit to 2MB to prevent LimitOverrunError on large snapshots
350,eb15dcf4d72d31d96482789f13ab2526576f4495,2026-02-23T19:38:16Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.2.23.8 [skip ci]
351,1343bb8ef2192a7aac5fbdd495648df318e9f080,2026-02-24T15:34:26-05:00,docs,no,settings,,,1,33,6,docs(readme): fix 13 discrepancies found in README audit
352,d99e091ab69d6781a6c9e8217920293172aa3af7,2026-02-24T20:34:46Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.2.24 [skip ci]
353,ec85e633a2652c0a9f669c33be1d23846437c5d0,2026-02-24T15:52:16-05:00,docs,no,providers,providers,,1,49,60,"docs(readme): reframe as service-first, usage-first, multi-provider"
354,7cdda3ff824199404c0b45896fd0d58f6e1b1aea,2026-02-24T20:52:37Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.2.24.2 [skip ci]
355,10f99ff9cdf659754b05a05cc6bb30509ff8a970,2026-02-24T16:25:07-05:00,docs,no,tasks;workers;settings;ui_ux,ui_ux,,5,46,38,docs(readme): add 4 dashboard screenshots and remove unused placeholders
356,2dbf35f79ea73957149e60d7821084b5844a2608,2026-02-24T21:25:29Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.2.24.3 [skip ci]
357,32f611be620325c268c5e15dace5daa871acbd9b,2026-02-24T16:34:15-05:00,feat,no,workers;deploy_release;testing_quality,workers,,3,367,24,feat(service): add macOS launchd support for auto-start on login
358,e78367d42133902225076f5d13c8c2e2ac7eeb11,2026-02-24T21:34:29Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.2.24.4 [skip ci]
359,62dedf78eaddbad6bd2d3c3856743888328fe667,2026-02-24T16:50:58-05:00,docs,no,ui_ux,,,1,70,75,docs(readme): reorder sections for sell → use → reference flow
360,487475007e6fe2437b06c607521ecea865051441,2026-02-24T21:51:17Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.2.24.5 [skip ci]
361,100064725fa44854b8cc2d36fb0162d5ad761afc,2026-02-24T17:10:56-05:00,docs,no,tasks;workers,tasks,,1,7,10,docs(readme): remove redundant content from Quick Start and Task System
362,f72eb8231203a6c92ccf47df77a28a1d93e562bb,2026-02-24T22:11:06Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.2.24.6 [skip ci]
363,6c2a7a4b0827a513e64fdfa7001b911da39e236b,2026-02-24T17:16:45-05:00,docs,no,ui_ux,ui_ux,,1,5,7,docs(readme): make Quick Start dashboard-first instead of CLI-first
364,a75d06c6b151026a2f9d719de7bbc4de53ea8fe9,2026-02-24T22:16:55Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.2.24.7 [skip ci]
365,ec460b37ddd4ff6d1fa1c04646bdccb125f234cd,2026-02-24T17:24:13-05:00,docs,no,mobile_pwa,,,1,9,17,docs(readme): clean up redundancies and inconsistencies
366,dd5bf9f25df1ca410c77253411cadafd383529c5,2026-02-24T22:24:22Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.2.24.8 [skip ci]
367,ed6f764e44d03b1932187b9f0564be607771dc2c,2026-02-24T17:29:32-05:00,docs,no,ui_ux,,,1,2,19,docs(readme): remove CLI commands from Remote Access and Updating
368,7315705a371bfb65eb7a055c4948426a4c480468,2026-02-24T22:29:40Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.2.24.9 [skip ci]
369,ee46bc2e2fc88b746b48ab466f88109a5f076d68,2026-02-24T20:48:09-05:00,fix,no,terminal;workers;ui_ux;testing_quality,terminal,,6,40,2,fix(web): send SIGWINCH on terminal refresh to force TUI redraw
370,375126f68da15b9256f0844b35613b4470c04610,2026-02-25T01:48:28Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.2.25 [skip ci]
371,a2ff878bdf7b349efc109f898991e9617bc4a5a2,2026-02-24T21:35:01-05:00,fix,no,testing_quality,testing_quality,,1,10,2,fix(test): eliminate RuntimeWarning for unawaited run_daemon coroutine
372,d2bd4a017aa8d0b4478d513d09fdcf9cab72bc14,2026-02-25T02:38:36Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.2.25.2 [skip ci]
373,bab79d948701a46e9ad567fae3ac598a9f8fc9fc,2026-02-24T22:15:30-05:00,fix,no,terminal;tasks;drones;workers;settings;testing_quality,settings,,8,551,48,"fix(core): harden pilot, config, and holder against edge cases"
374,8e85a1df057b4b0f0fb338437c5e8970bf88c5a6,2026-02-25T03:16:23Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.2.25.3 [skip ci]
375,fcb26641a68ff00a8ec2de1670a90085e175d704,2026-02-24T22:47:35-05:00,feat,no,workers;settings;ui_ux;testing_quality,,,17,1038,15,"feat(core): add worktree isolation, conflict detection, and cost tracking"
376,0ffe3d01f9d0ff393acb0996db29ea4f0882bb48,2026-02-25T03:55:06Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.2.25.4 [skip ci]
377,a040cb7d1396e588cdd378ef5a56885755b3850e,2026-02-24T23:15:24-05:00,fix,no,deploy_release;ui_ux,deploy_release,,3,32,3,fix(web): faster cost updates and fix merge endpoint
378,1ee3a7bade591a113cddd41433556c468278b469,2026-02-25T04:15:40Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.2.25.5 [skip ci]
379,2a6737ecd22e8be3cf9a93dd05f5d368262614e8,2026-02-25T09:22:24-05:00,fix,no,workers;settings;ui_ux,workers;ui_ux,,3,2,38,fix(web): remove cost badges from dashboard worker cards
380,cdb1126275dd91de9382ed8c9f3e1f753c6a8575,2026-02-25T14:26:07Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.2.25.6 [skip ci]
381,d547b6e269c400909a77a235e9dca1976deea4b2,2026-02-25T10:00:27-05:00,fix,no,terminal;queen;drones;workers;messaging;testing_quality,terminal;messaging,,11,183,8,fix(pty): add terminal-active guard to prevent input injection while user types
382,bc8dc7c2a4a269aab06654ec880236e646468c39,2026-02-25T10:03:08-05:00,fix,no,terminal;drones;testing_quality,terminal,,6,88,5,fix(pty): add command ID to pool↔holder protocol and fix escalation tracking
383,8af4543349cf3722d425835480c566f16ba8568d,2026-02-25T10:07:04-05:00,fix,no,tasks;drones;worker_state;workers;testing_quality,,,6,132,1,"fix(core): fix hysteresis counter reset, hive auto-stop, and add proposal TTL"
384,131f241424cea8fd1be4f2fab0d2c6f74c706753,2026-02-25T10:10:18-05:00,fix,no,terminal;workers;security_auth;settings;testing_quality,security_auth;settings;testing_quality,,9,126,13,"fix(security): harden config parsing, API validation, FD cleanup, and WS limits"
385,517397fb8081f4045bec40b6594934ba553bb171,2026-02-25T15:12:15Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.2.25.7 [skip ci]
386,d3b37d8d326eb0156c4bc7f45d6699d0c74c6e08,2026-02-25T10:58:19-05:00,fix,no,terminal;tasks;drones;security_auth;ui_ux;testing_quality,terminal;security_auth;testing_quality,,12,325,107,"fix(security): deep scan hardening — XSS, WS origin, PTY cleanup, confidence gates"
387,54cdd3c680db584d82ba557775750e0aa6739734,2026-02-25T16:02:11Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.2.25.8 [skip ci]
388,703c9ca3883c1900765b82bcd2be02f941234dfb,2026-02-25T13:09:47-05:00,fix,no,terminal;drones;worker_state;workers;testing_quality,drones;workers,,2,99,1,fix(drones): add revive loop detection — cap rapid revives and escalate
389,f83929fabd7ab8856cbfcf1d7b1fc0c06d59fbb6,2026-02-25T18:10:14Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.2.25.9 [skip ci]
390,16033483220d8ca5dc8c39fdf379e11993c50dcc,2026-02-25T16:09:08-05:00,fix,no,terminal;tasks;queen;drones;workers;email;mobile_pwa;settings;providers;deploy_release;ui_ux;testing_quality,testing_quality,,34,2505,184,"fix(core): deep scan hardening — bugs, robustness, tests, features"
391,dade6e9335c6e755277ec00a07b02365241218c0,2026-02-25T21:10:00Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.2.25.10 [skip ci]
392,c1f7fdf302d7450175758ea0bc918c010899c649,2026-02-25T16:22:00-05:00,fix,no,queen;drones,queen;drones,,2,55,33,fix(drones): log Queen confidence and blocked directives to buzz log
393,599d0947e02145ac9ef12c5956cdc37c77b0e216,2026-02-25T16:24:06-05:00,fix,no,queen;drones,drones,,2,41,3,fix(drones): block auto-approval of bash commands in accept-edits prompts
394,215729b5740048ed5dc84924b5facb934d3be531,2026-02-25T16:25:56-05:00,fix,no,drones,drones,,1,18,2,fix(drones): broaden bash approval guard to cover all prompt types
395,343743467f504cb56c4bdec1d7dfc89249fd02a5,2026-02-25T21:26:14Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.2.25.11 [skip ci]
396,b5b07410db1ffe0c3fb70d841c6f5918a1f55694,2026-02-25T16:49:17-05:00,fix,no,queen;drones;worker_state;workers;testing_quality,queen;drones;worker_state,,2,40,0,fix(drones): block Queen continue on idle/suggested prompts
397,0619c241cb6a7ff2f7a2d4ab88b7ab4aadf45f70,2026-02-25T21:49:40Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.2.25.12 [skip ci]
398,4f04990deb4eadaca65fc8c2410c3dd330dff874,2026-02-25T18:57:27-05:00,fix,no,terminal;queen;drones;testing_quality,terminal;queen;drones,,2,85,5,fix(drones): block Queen continue on empty prompts
399,bb6664a66a493a6f1dcb5334bc022d4a65bf520b,2026-02-26T00:07:22Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.2.26 [skip ci]
400,208d6b1e09a4990ce57ec1c994072f1cb442972f,2026-02-25T19:27:37-05:00,fix,no,terminal;queen;drones;worker_state;workers;testing_quality,queen;drones;worker_state;workers,,2,41,36,fix(drones): block Queen continue on all resting/sleeping workers
401,5f72040bc881fd511a5cb7593a60f38729421df1,2026-02-26T00:27:57Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.2.26.2 [skip ci]
402,b6b568e76cafdca5ca1c9d9c3d12aa0f1c25a95b,2026-02-25T19:41:05-05:00,fix,no,queen;drones;worker_state;workers;testing_quality,queen;drones;worker_state;workers,,2,35,5,fix(drones): block Queen continue on all non-BUZZING workers
403,950ce856e3e59a73b453f150129015db0407b6b9,2026-02-26T00:41:35Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.2.26.3 [skip ci]
404,7319bf058387d6d226d2e9e810e2fe1dba2d476c,2026-02-25T19:56:16-05:00,fix,no,drones;providers;testing_quality,,,4,77,4,fix(state): detect prompts through stale esc-to-interrupt in buffer
405,6361b124bd565dab39d1a2cdb186f1aac6ded0d8,2026-02-26T00:56:32Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.2.26.4 [skip ci]
406,6c7d487d714ff4fe535580e7cdf74d1c342f3332,2026-02-26T08:41:59-05:00,fix,no,terminal;tasks;queen;drones;email;security_auth;recovery;resources;settings;deploy_release;ui_ux;testing_quality,recovery;resources;ui_ux,,28,1114,194,fix(dashboard): fix dev reload race condition and missing restart header
407,a4a322bf6490889cbc6a482dd7bccc71a7b4c14e,2026-02-26T13:42:50Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.2.26.5 [skip ci]
408,f637c5ddae40ea16544135fc29ec52a3d8485a69,2026-02-26T11:49:00-05:00,other,no,terminal;workers;recovery;settings;ui_ux,terminal;recovery,,8,426,55,Stabilize PTY terminal reconnect and debug visibility
409,6c118f8b17e1f24dcdcbd16029fa5b174eb47af9,2026-02-26T16:51:38Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.2.26.6 [skip ci]
410,e43025e9b445bf7135e8f78eb6779feaeb471b6c,2026-02-26T12:18:25-05:00,fix,no,terminal;settings;testing_quality,terminal;testing_quality,,3,56,42,Fix CI lint errors from terminal stability changes
411,94a18aedc6ebad91473851b8112166508487e05c,2026-02-26T17:21:01Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.2.26.7 [skip ci]
412,c62b6652e07ef6f1d578c5fb05dce67234d60795,2026-02-26T12:49:18-05:00,fix,no,terminal;testing_quality,testing_quality,,1,13,2,Fix bridge WS handler backward compatibility for tests
413,efb041d4f00a08427203022ced355a6a821f3303,2026-02-26T17:49:56Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.2.26.8 [skip ci]
414,a0249dddeeded61822e10fd84c7c011ce3483e87,2026-02-26T14:17:14-05:00,other,no,terminal;tasks;queen;drones;workers;email;mobile_pwa;resources;settings;deploy_release;ui_ux;testing_quality,resources;testing_quality,,56,243,190,"Code review fixes: type safety, resource cleanup, expanded lint rules"
415,fec4cd59f2bc75f8eb92b0712634042e58e372a1,2026-02-26T19:17:50Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.2.26.9 [skip ci]
416,7f901974bf357742c67a3fcb26b7a45638a7bce3,2026-02-26T15:08:47-05:00,other,no,terminal;recovery;settings;ui_ux,terminal;recovery,,2,23,9,Increase replay buffer to 1MB and improve terminal reconnect flow
417,d7d03b9cefa2d54b91637b0f55386b0bdab72f1e,2026-02-26T20:09:08Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.2.26.10 [skip ci]
418,060017ba6e8674d58cc6c8c28b9bf9e528e882b3,2026-02-26T16:03:36-05:00,security,no,security_auth;resources;settings;deploy_release;testing_quality,security_auth;resources;settings,,2,19,1,Security: prevent api_password leak in PUT /api/config response
419,35aecd99b151c68e7b7c1f44df62a4ea7661a01c,2026-02-26T16:04:13-05:00,fix,no,resources,resources,,1,1,4,Fix potential file handle leak in web_start() using context manager
420,a0880906bd65cb4d2847fba1ce3c2e5cecbe17ce,2026-02-26T16:05:04-05:00,other,no,workers,workers,,1,14,9,Defensive snapshot of workers list in expire_stale()
421,3b446a48b1997855862e683fdbf5a108bf44e3b6,2026-02-26T16:07:00-05:00,feature,no,terminal;testing_quality,,,4,10,2,"Add has_ws_subscribers property, stop accessing private _ws_subscribers"
422,75ed433204567e5baab00f65fd4e75fa3060271e,2026-02-26T16:07:50-05:00,other,no,workers,workers,,1,3,1,Move blocking get_worker_usage() call to thread pool
423,4b84aa5fa6862d0e118fa9735b64d32df55ffc6f,2026-02-26T16:08:44-05:00,other,no,email;testing_quality,,,2,18,1,Sanitize attachment filenames to safe characters only
424,957745fe5a12cf47fe530c5c373c6ea9b22d02cc,2026-02-26T16:09:12-05:00,other,no,messaging,messaging,,1,2,2,Return generic message for unhandled 500 errors
425,2791e8cee7ca4cdea30bcd88ed8e54446298a7a4,2026-02-26T16:10:31-05:00,feature,no,testing_quality,,,2,43,0,Add hard cap on rate limit IP tracking to prevent unbounded growth
426,a8d274e562f0b8bdb1af0a0ee00978816ab58bf6,2026-02-26T16:11:40-05:00,feature,no,tasks;testing_quality,tasks;testing_quality,,1,395,0,Add comprehensive direct tests for TaskBoard (41 tests)
427,61ab752668119f7ce2110fd4e50db2b38e348403,2026-02-26T16:12:45-05:00,feature,no,testing_quality,testing_quality,,1,126,0,Add direct tests for EventEmitter mixin (13 tests)
428,5b6b8c3e711342ea3c3a6286e31a6906f037205b,2026-02-26T16:24:43-05:00,fix,no,queen;worker_state;workers;security_auth;testing_quality,queen;worker_state;workers,,4,120,12,fix(queen): skip idle-time bias for WAITING workers
429,00bb623573ce14a030610af4810f5e13536046f6,2026-02-26T21:25:35Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.2.26.11 [skip ci]
430,4c4b49a80882cd93d27bf806a840e01c927068ac,2026-02-26T18:10:44-05:00,security,no,terminal;security_auth;settings;testing_quality,security_auth,,5,200,15,"security: harden proxy trust, CORS origin validation, and rate limiting"
431,4cd6ac7fca238c6630bb0b6a28759fcfd44794a6,2026-02-26T18:15:11-05:00,fix,no,terminal;tasks;drones;testing_quality,drones,,6,130,6,"fix(async): await cancelled timers, add poll error tracking, async /proc wrappers"
432,e32f99eff9f25d792055f053425f75fa3e7616b4,2026-02-26T18:18:06-05:00,perf,no,drones;workers;testing_quality,drones,,2,62,7,perf: clean up unbounded dicts and cache time.time() in poll cycle
433,9e42fbec88349083ddd5b631d325ad183dd49e35,2026-02-26T18:19:52-05:00,quality,no,email,email,,2,111,8,"quality: extract magic numbers in email_service, add API response TypedDicts"
434,b17ddff33c6a9d4d8a19e7ab8c9f3ee284f6cb30,2026-02-26T23:22:41Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.2.26.12 [skip ci]
435,f40abbd66d425c2f8cbe6b862219cd23c11811a3,2026-02-26T19:56:51-05:00,security,no,terminal;tasks;queen;drones;security_auth;ui_ux;testing_quality,security_auth,,11,193,97,"security: enforce auth by default, CSP nonces, type/encapsulation fixes"
436,44e4a87a2a46be210f56a033f42b786523ff4b4f,2026-02-27T00:58:48Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.2.27 [skip ci]
437,3caf182eaa4dcec086cacf17424001dd284c4656,2026-02-27T00:02:36-05:00,feat,no,drones;testing_quality,,,7,1201,13,feat(logs): add SQLite persistence layer for system log analytics
438,53e5bed2bb93e1831a4a0256323636273aa9dc23,2026-02-27T00:08:36-05:00,feat,no,drones;workers;testing_quality,,,4,519,0,feat(tuning): add override tracking and auto-tuning suggestions
439,2b1d90926968cf38de4824fbd1f8890a53043b10,2026-02-27T00:14:47-05:00,feat,no,mobile_pwa;ui_ux;testing_quality,mobile_pwa,,5,99,2,feat(notifications): add unified push notification system
440,4dff521318a29a023c0c942926fdca834763044d,2026-02-27T00:25:41-05:00,feat,no,queen;drones;worker_state;settings;testing_quality,queen,,7,960,0,feat(oversight): add Queen oversight signals with heuristic + LLM evaluation
441,7fee140cbc83608763152cd05ed46e7a0eb0f05e,2026-02-27T00:32:48-05:00,feat,no,settings;providers;testing_quality,,,7,768,1,feat(coordination): add file ownership tracking and auto-pull sync
442,7862329f77b9d2c0d7b5bf9118fe344060359a8b,2026-02-27T00:43:00-05:00,feat,no,terminal;tasks;jira;settings;testing_quality,jira,,8,901,0,feat(jira): add two-way Jira integration with import/export sync
443,27326a8d952b56347d1abadbe387c92b7c24c91b,2026-02-27T12:49:41Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.2.27.2 [skip ci]
444,40eaffeb80457dd03534788286509e8a99e7368a,2026-02-27T11:30:24-05:00,refactor,no,terminal;tasks;queen;drones;security_auth;messaging;settings;providers;deploy_release;testing_quality,testing_quality,,19,653,165,"refactor: safety fixes, silent exception logging, TOCTOU guards, and C901 cleanup"
445,c1a398eb159d6294c365a6916b774e75be2b31aa,2026-02-27T11:32:06-05:00,fix,no,security_auth;ui_ux,security_auth;ui_ux,,1,0,8,fix(web): remove dead CSP nonce code from dashboard handler
446,3f96cdb8b2a57ec4a53f16c5a22bc072324901a3,2026-02-27T16:33:31Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.2.27.3 [skip ci]
447,372c48a3cbf8da5b898e8b74b05b1b8c1e69969b,2026-02-27T13:05:01-05:00,feat,no,terminal;security_auth;settings;testing_quality,security_auth,,5,171,6,feat(auth): hash api_password with scrypt instead of storing plaintext
448,787fbc1ddb582238dcf11231b77c95ed659ee8f9,2026-02-27T13:14:35-05:00,feat,no,security_auth;ui_ux;testing_quality,security_auth;ui_ux,,5,4581,4458,feat(web): extract inline JS to dashboard.js and add nonce-based CSP
449,4331b17d56ffa0acddd1fa2fa0d8d54ace6d31f2,2026-02-27T13:20:56-05:00,feat,no,terminal;security_auth;messaging;ui_ux;testing_quality,security_auth;messaging,,5,83,79,feat(ws): authenticate via first message instead of URL query param
450,27d8689b93ac995b8c5850f2559daf587fbac3e1,2026-02-27T14:10:26-05:00,fix,no,workers;mobile_pwa;security_auth;settings;ui_ux;testing_quality,security_auth;testing_quality,,7,18,9,fix(web): complete CSP nonce coverage and fix remaining inline handlers
451,65145ff5c2a539cb591941c6231b10dc6d659ec9,2026-02-27T19:11:16Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.2.27.4 [skip ci]
452,5914f76d2110493b2c93765ae513ee8b7629f81c,2026-02-27T14:20:52-05:00,fix,no,settings;ui_ux,settings,,2,211,106,fix(web): migrate config page inline handlers to delegated events
453,6d1cfd44d62561327f7084752b4b13fc87c7d89c,2026-02-27T19:21:14Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.2.27.5 [skip ci]
454,022f9aae4932f863f68b527c3d549c678f5a9b75,2026-02-27T14:47:12-05:00,fix,no,drones;providers;testing_quality,drones;providers,,3,277,9,fix(drones): support new Claude Code prompt format + narrow rule window
455,52066bc99ee6e8d75b31cdf11ad15d22c1fcf20b,2026-02-27T19:47:31Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.2.27.6 [skip ci]
456,02ca717fe4e6d26f75a8b6ac980879c0294dd36a,2026-02-27T15:09:21-05:00,feat,no,ui_ux;testing_quality,,,5,302,5,"feat(proposals): add ""Approve Always"" button + rename Reject → Dismiss"
457,4d8d727a88289d2c80fc958b67fab977842d8fff,2026-02-27T20:09:42Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.2.27.7 [skip ci]
458,f4643c6ed27c7342caeb8eca70fae561e70120c5,2026-02-27T20:22:44-05:00,feat,no,terminal;drones;workers;ui_ux;testing_quality,terminal;drones,,11,795,70,"feat(drones): detect operator terminal approvals + ""Approve Always"" rules"
459,2f7544fff845057a2c9bd8c308a7e996bb7d9d2b,2026-02-28T01:23:04Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.2.28 [skip ci]
460,23151d91c2f6d1d738de2079e945e73094ddbca2,2026-02-27T20:34:36-05:00,fix,no,terminal;drones;testing_quality,terminal;drones,,2,64,18,"fix(drones): extract approval pattern from raw PTY content, not summary"
461,5d8cb60b82d54dcb63e0c3b09d8960ec81204a95,2026-02-28T01:34:51Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.2.28.2 [skip ci]
462,d9cd49018e7281ef98aaa1ed4e3fb75e144703f1,2026-02-27T20:55:52-05:00,fix,no,terminal;drones;testing_quality,drones,,2,139,9,fix(drones): reject dangerous cmds and use multi-word approval patterns
463,2b180c4c1a0ec6f9e43950995990d251f0158df9,2026-02-28T01:57:49Z,chore,no,deploy_release,deploy_release,,2,2,2,chore(version): bump to 2026.2.28.3 [skip ci]
464,de1763d1ea7c12ec3d3d4ac684108d34b61c5c99,2026-02-28T11:59:31-05:00,fix,no,terminal;drones;testing_quality,terminal;drones,,9,685,48,"fix(pty,drones): close 7 concurrency race conditions"
465,c4e923eb57bdbcb7c93971857b109e7f82c4e690,2026-02-28T12:21:52-05:00,fix,no,terminal;email;security_auth;resources;deploy_release;testing_quality,security_auth;resources,,5,146,4,fix(security): symlink upload defense and WS auth rate limiting
466,8773975bd5e993d344d4ce3e82b52e2ce4e1f001,2026-02-28T12:37:22-05:00,perf,no,drones;settings;testing_quality,drones,,3,39,1,perf(drones): pre-compile approval rule regexes
467,fd1f68bd122f2e79156eaba8444e5b1c667e72d8,2026-02-28T12:40:18-05:00,perf,no,drones;testing_quality,drones,,2,46,8,perf(drones): cache splitlines per decide() call
468,e2e7b9a9c3999a1ccba32787bb4290c26e90f710,2026-02-28T12:41:58-05:00,test,no,settings;deploy_release;testing_quality,deploy_release;testing_quality,,1,90,0,test(hooks): add uninstall() coverage for hooks/install.py
469,aeaefa809458a9afe894fd30c2bcd2da0d94670c,2026-02-28T12:43:56-05:00,test,no,terminal;testing_quality,terminal;testing_quality,,1,81,0,"test(pty): add render_ansi, color SGR, and resize tests for buffer.py"
470,80b38b0e148b64eadb948f5f4c5ef7f46f9cde29,2026-02-28T12:45:39-05:00,test,no,terminal;testing_quality,terminal;testing_quality,,1,147,0,"test(pty): add send_keys, signal, resize, WS, and fg-cmd tests for process.py"
471,65bf566389889e8892446a3b627239da0ec2d084,2026-02-28T12:48:00-05:00,test,no,terminal;workers;messaging;testing_quality,terminal;workers;messaging;testing_quality,,1,195,0,"test(pty): add spawn, error path, broadcast, and reap tests for holder.py"
472,0f8c67bfc67c2c08879a246886576faaea385caa,2026-02-28T12:50:05-05:00,perf,no,workers;testing_quality,workers,,2,66,2,perf(worker): cache to_api_dict() for 1s to reduce serialization overhead
473,054108375ac8bfa2aac6b1cebf0c8c571c1e70c7,2026-02-28T12:57:17-05:00,test,no,queen;testing_quality,testing_quality,,1,244,0,test(daemon): add 18 event handler tests for daemon.py
474,c18de7169636d02f39993d98a1139df0006558b5,2026-02-28T12:59:38-05:00,test,no,tasks;messaging;resources;settings;testing_quality,tasks;messaging;resources;settings;testing_quality,,1,147,0,"test(daemon): add broadcast_ws, queue_proposal, apply_config, reload_config tests"
475,fde9ca6af6c4b4d1eb87db83d6a173c58a170311,2026-02-28T13:04:55-05:00,test,no,workers;testing_quality,testing_quality,,1,608,1,test(web): add 39 action handler tests for web/app.py
476,395bd4b849f67d94a88c8a873c29f9745c1f777b,2026-02-28T13:21:03-05:00,docs,no,tasks;providers;ui_ux,tasks;providers;ui_ux,,1,11,11,docs(claude): clarify dashboard-first workflow in CLAUDE.md
477,1e9d2fff2a3811b257e2a919f921cfc72cb863b6,2026-02-28T13:51:48-05:00,refactor,no,terminal;workers;settings;testing_quality,settings;testing_quality,,10,334,266,refactor(config_manager): decouple ConfigManager from SwarmDaemon
478,f2f38c31036d50e6f3127007fcce5a9c4ed39804,2026-02-28T14:03:29-05:00,refactor,no,terminal;workers;testing_quality,testing_quality,,10,242,112,refactor(proposals): decouple ProposalManager from SwarmDaemon
479,bb17d8fd4c585ea5a4c54ad464043f99355b8fb1,2026-02-28T14:15:20-05:00,refactor,no,terminal;queen;workers;testing_quality,queen;testing_quality,,9,392,195,refactor(analyzer): decouple QueenAnalyzer from SwarmDaemon
480,31d12f30a9d04befbca07c88789e9a8d53457d7c,2026-02-28T15:10:53-05:00,refactor,no,terminal;workers;settings;testing_quality,workers;testing_quality,,10,253,97,refactor(worker_service): decouple WorkerService from SwarmDaemon
481,7946006d471dac6d5aa8ba0a06553f790e9a2e21,2026-02-28T15:13:03-05:00,fix,no,mobile_pwa;settings;deploy_release,mobile_pwa;settings,,1,2,0,fix(daemon): refresh ProposalManager notification_bus in apply_config
482,3f2b0042955bc55adc8dc5701db3fcc3805c9605,2026-02-28T15:16:25-05:00,fix,no,mobile_pwa;testing_quality,mobile_pwa,,1,2,1,fix(daemon): guard notification_bus refresh for missing proposals attr
